DOWLKNUM,ACCESS.avg.ann.gdd,GFDL.avg.ann.gdd,IPSL.avg.ann.gdd,MIROC5.avg.ann.gdd,MRI.avg.ann.gdd,UTMX,UTMY,LON,LAT
29004500,1962.6952559267816,1829.5821267949989,1967.1883056249944,2061.290762831943,1808.6454653915032,366550.0103,5205435.954,-94.75498859,46.98899574
29007500,1912.528105426131,1772.1873400244006,1926.17943421151,2009.677985232252,1755.4514815049097,366686.8893,5224841.821,-94.75892535,47.16356766
29009300,1984.3887612451929,1850.059177935223,1987.5399207782111,2085.4758787415067,1830.223770941475,358083.3179,5198956.483,-94.86424873,46.92895876
29010103,1865.8813073382864,1732.581904883922,1870.482550866536,1959.145273312919,1711.7154721673426,357213.3235,5210928.864,-94.8794421,47.03645118
29013000,1922.0178531048512,1788.503127409747,1932.3474335566852,2021.222888457159,1767.5816697933274,360455.1879,5224657.8,-94.84104627,47.16062098
29015700,1917.383895120104,1782.907251320561,1920.2515765710896,2022.4048167433132,1775.0172846076428,345319.7333,5185858.651,-95.02736886,46.80831366
29016100,1982.2529146632223,1836.8784284773728,1980.5091043867071,2083.582670732762,1821.169628175623,347737.15870000003,5194997.873,-94.99875189,46.89106421
29021700,1843.4331520928963,1709.9397553887948,1846.8585191024165,1931.3726991835256,1699.287574463842,348823.5182,5228178.639,-94.99560008,47.18971567
29024100,1962.6193353392148,1834.1768961823905,1973.8857580761248,2061.0338906198535,1818.396287337495,349713.6153,5245479.257,-94.98968176,47.34550283
29025000,2061.023353851649,1927.8776840351245,2061.142285991367,2170.3536133927378,1907.7755784125752,338695.4017,5203542.845,-95.12039383,46.96577351
29030900,1918.662609585764,1784.2583540346532,1936.208219991044,2023.1716904669272,1760.5309869883597,336301.737,5244849.983,-95.16688834,47.33662567
30000900,2504.376195681019,2330.0168004851207,2507.8029537974453,2640.9022023068483,2329.8553816109707,493232.0582,5028964.684,-93.08649634,45.41416939
30002200,2244.510677339187,2071.0946881027457,2236.997979843605,2355.1505396031216,2062.7851939464035,488125.7097,5046730.016,-93.15218693,45.5740091
30004300,2144.9041208179574,1972.9734450240665,2134.2376969253196,2248.8215529166173,1963.9808507902392,485448.7306,5044651.955,-93.1864344,45.55525364
30004400,2394.4198883913064,2212.3433142639296,2389.381577955331,2510.366482047471,2203.612943456841,481799.8202,5053622.779,-93.23351944,45.635913360000004
30007200,2444.649698740405,2263.562115978482,2437.7793167126333,2569.4350488165255,2253.8020845689057,473012.8948,5035701.332,-93.34527009,45.4743184
30008000,2492.792534301054,2314.808139839194,2497.2067485592484,2626.7186838989032,2316.51507795077,474179.1928,5039191.81,-93.33053257,45.50578033
30008300,2051.4212329259053,1890.59678414067,2048.2999448528753,2149.562551966553,1878.3719740995043,476291.0688,5044683.191,-93.303764760000007,45.55528306
30011400,2384.6531816188512,2214.562551663392,2384.668952824928,2509.4596056862533,2204.305711533229,462025.5171,5038711.519,-93.48607003,45.50090121
30013800,2299.926802373005,2130.1009026261486,2293.568087952719,2412.849219514657,2113.099635858454,463352.1049,5054196.138,-93.470252060000007,45.64034494
30014300,2343.573326221107,2175.3595687879306,2343.324987849993,2460.377041930792,2165.341243929873,464501.5541,5055854.436,-93.45562423,45.6553304
31019000,1929.795913113192,1806.2655551002065,1943.0684486542336,2030.0844607322576,1789.820638780997,476043.1676,5239325.143,-93.3169353,47.30696056
31019100,1929.795913113192,1806.2655551002065,1943.0684486542336,2030.0844607322576,1789.820638780997,475734.9307,5238414.911,-93.32096346,47.29875881
31037000,1999.6090233034736,1873.2032285819448,2012.3462732077865,2100.6006426052195,1857.8497001113456,459656.0002,5233546.116,-93.53319783,47.25415674
31037200,1972.4169296528617,1844.4681740159024,1986.0916553538837,2076.424464888728,1829.0623294949617,460063.4624,5232616.422,-93.52772982,47.2458163
31037300,1947.540551568039,1817.3725839765816,1960.2053787036389,2048.170344660241,1802.591083126738,458525.5407,5232579.362,-93.54804787,47.24538744
31055400,1914.3757054694847,1783.4127017120315,1929.449492158479,2016.1706059771077,1767.4844811938774,449140.6203,5222846.492,-93.67094822,47.15715254
31057600,1945.2252927433249,1808.902026514192,1961.2639428038144,2041.7827161815733,1796.2073733244038,450645.7713,5240809.853,-93.65307635,47.31889792
31082400,1938.5177498496732,1798.3911020182636,1955.1515810971568,2035.248443903522,1791.9570079804405,427002.9179,5270350.243,-93.97076898,47.58245646
31082600,1938.5177498496732,1798.3911020182636,1955.1515810971568,2035.248443903522,1791.9570079804405,424231.5259,5274125.994,-94.00827169,47.6161069
31092100,1984.918868329602,1851.301048802305,2003.16346424639,2087.817517906025,1845.75878364185,403240.0646,5272901.907,-94.28727567,47.60230072
31092800,2054.276354791668,1921.0127393335663,2064.309418561647,2157.568940749841,1919.764023641687,397044.2697,5260943.002,-94.36687962,47.49377194
31093400,1915.9533722231336,1783.3215794627058,1932.4557158218147,2013.582555654771,1791.6503787110437,394654.1683,5277474.805,-94.40256698,47.64209584
32002000,2400.497538971918,2200.223211978316,2386.495900519547,2505.800354337164,2214.6937318506966,330437.9296,4822561.825,-95.09863826,43.53674561
32004500,2457.741921426978,2267.933360553324,2452.525816357998,2566.9350703995915,2284.311415682081,322845.3594,4845812.801,-95.20016801,43.74418215
